UNITID,MDCOST_ALL,GRAD_DEBT_MDN,FEMALE_DEBT_MDN,MALE_DEBT_MDN,MDEARN_PD,COUNT_NWNE_1YR,COUNT_WNE_1YR,PCTPELL,CDR2,CDR3,PELL_EVER,RPY_7YR_RT,GT_THRESHOLD_P11,COUNT_ED,AGE_ENTRY,FEMALE,MARRIED,DEPENDENT,VETERAN,FIRST_GEN,FAMINC,POVERTY_RATE,UNEMP_RATE
154697,NA,7598,4750,5221,NA,NA,NA,0.1424,NA,0.167,0.8561549101,0.5454545455,NA,NA,25.697095436,0.6065006916,0.3886583679,0.3941908714,0.0159059474,0.4670896114,35824.71231,NA,NA
154712,NA,26125,19750,16448,NA,NA,NA,0.2073,NA,0.031,0.4280487805,0.7936210131,NA,NA,19.876829268,0.4804878049,NA,0.9646341463,NA,0.1607142857,99402.231707,NA,NA
154721,NA,27000,17000,9500,NA,NA,NA,0.3976,NA,0.132,0.5817120623,0.7567567568,NA,NA,20.472762646,0.3696498054,NA,0.906614786,NA,0.3312236287,60569.875486,NA,NA
154749,NA,26025,18850,10750,NA,NA,NA,0.4295,NA,0.071,0.6997245179,0.8229166667,NA,NA,21.258953168,0.4022038567,0.0606060606,0.8539944904,NA,0.3421828909,55489.363636,NA,NA
154767,NA,15833,7672,6334,NA,NA,NA,0.644,NA,0.18,0.7625,0.4262948207,NA,NA,29.347083333,0.785,0.20875,0.21875,0.0116666667,0.4739530133,23479.57,NA,NA
154776,NA,15833,7672,6334,NA,NA,NA,0.7382,NA,0.18,0.7625,0.4262948207,NA,NA,29.347083333,0.785,0.20875,0.21875,0.0116666667,0.4739530133,23479.57,NA,NA
154794,NA,22777,16723,9500,NA,NA,NA,0.8837,NA,0.088,NA,0.328125,NA,NA,30.86259542,0.6259541985,0.2671755725,0.1526717557,NA,0.4951456311,17101.854962,NA,NA
154800,NA,11000,5500,4905,NA,NA,NA,0.3472,NA,0.129,0.8044501498,0.5569343066,NA,NA,24.267222935,0.5913564399,0.1598202824,0.5810868635,0.0128369705,0.418172936,36853.352803,NA,NA
154837,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154855,NA,22781.5,7280,6508,NA,NA,NA,0.3944,NA,0.164,0.8078020932,0.6931818182,NA,NA,33.53282588,0.5118934348,0.3320647003,0.2359657469,0.0152235966,0.4811664642,34970.983825,NA,NA
154907,NA,6500,4500.5,5500,NA,NA,NA,0.3154,NA,0.179,0.8146387833,0.5968992248,NA,NA,23.745247148,0.608365019,0.1986692015,0.5903041825,0.0161596958,0.4329334787,37117.020913,NA,NA
154925,NA,6500,5500,4766,NA,NA,NA,0.5268,NA,0.137,0.8628272251,0.4461538462,NA,NA,21.630366492,0.3863874346,0.057591623,0.8020942408,NA,0.4249394673,34544.027225,NA,NA
154934,NA,9250,5867.5,5500,NA,NA,NA,0.6177,NA,0.035,0.7584415584,0.7374301676,NA,NA,24.209090909,0.7103896104,0.1337662338,0.5779220779,NA,0.3708029197,40444.150649,NA,NA
