UNITID,TUITIONFEE_IN,TUITIONFEE_OUT,AVGFACSAL,INEXPFTE,ENDOWBEGIN,ENDOWEND
476090,NA,NA,NA,9181,NA,NA
476106,NA,NA,NA,7523,NA,NA
476115,NA,NA,NA,14254,NA,NA
476124,NA,NA,NA,24621,NA,NA
476133,NA,NA,NA,5682,NA,NA
476142,NA,NA,NA,9028,NA,NA
476151,NA,NA,NA,12897,NA,NA
476160,NA,NA,NA,10220,NA,NA
476179,NA,NA,NA,5141,NA,NA
476230,NA,NA,NA,2264,NA,NA
476294,NA,NA,NA,2844,NA,NA
476328,NA,NA,NA,9967,NA,NA
476337,17150,17150,4077,4596,NA,NA
476346,NA,NA,NA,2080,NA,NA
476355,17400,17400,NA,2404,NA,NA
476382,NA,NA,4898,4189,NA,NA
476391,NA,NA,4667,1898,NA,NA
476470,NA,NA,NA,4137,NA,NA
476489,NA,NA,NA,310,NA,NA
476498,9000,9000,NA,2063,NA,NA
476504,NA,NA,NA,2462,NA,NA
476513,NA,NA,NA,1780,NA,NA
476522,NA,NA,NA,6538,NA,NA
476531,NA,NA,NA,3037,NA,NA
476540,NA,NA,NA,2549,NA,NA
476559,NA,NA,NA,2488,NA,NA
476568,NA,NA,NA,10314,NA,NA
476577,NA,NA,NA,1994,NA,NA
476586,NA,NA,NA,7511,NA,NA
476595,NA,NA,NA,7604,NA,NA
476601,12250,12250,5818,18581,NA,NA
476610,NA,NA,NA,4543,NA,NA
476629,NA,NA,NA,1099,NA,NA
476638,NA,NA,NA,9431,NA,NA
476674,NA,NA,NA,3979,NA,NA
476683,NA,NA,NA,2011,NA,NA
476692,11500,11500,2750,3301,NA,NA
476708,NA,NA,NA,1254,NA,NA
476717,8350,8350,1073,2548,NA,NA
476726,NA,NA,NA,2495,NA,NA
476735,NA,NA,NA,2989,NA,NA
476744,NA,NA,NA,8283,NA,NA
476753,NA,NA,NA,9560,NA,NA
476762,NA,NA,NA,1192,NA,NA
476771,NA,NA,NA,4539,NA,NA
476780,NA,NA,NA,688,NA,NA
476799,NA,NA,NA,4596,NA,NA
476805,NA,NA,NA,1796,NA,NA
476814,NA,NA,NA,5694,NA,NA
476823,NA,NA,NA,4620,NA,NA
476832,NA,NA,NA,2638,NA,NA
476841,NA,NA,NA,3678,NA,NA
476850,NA,NA,NA,1828,NA,NA
476869,NA,NA,NA,1256,NA,NA
476878,NA,NA,NA,2654,NA,NA
476887,NA,NA,NA,2125,NA,NA
476896,NA,NA,NA,1599,NA,NA
476902,NA,NA,NA,5883,NA,NA
476911,NA,NA,NA,485,NA,NA
476939,NA,NA,NA,1657,NA,NA
476948,NA,NA,3368,3929,NA,NA
476957,NA,NA,NA,5276,NA,NA
476966,NA,NA,NA,626,NA,NA
476975,NA,NA,4794,2063,NA,NA
476984,NA,NA,NA,4284,NA,NA
476993,NA,NA,NA,6524,NA,NA
477002,NA,NA,NA,724,NA,NA
477039,25425,25425,7776,9351,NA,NA
477950,16968,16968,4491,4303,NA,NA
477996,13503,13503,4200,1984,NA,NA
478005,13503,13503,5000,1481,NA,NA
478014,13503,13503,3744,1618,NA,NA
478582,NA,NA,NA,5242,NA,NA
478591,NA,NA,NA,1875,NA,NA
478616,NA,NA,NA,6123,NA,NA
478634,16968,16968,3495,3224,NA,NA
478643,NA,NA,NA,4555,NA,NA
478661,NA,NA,NA,2672,NA,NA
478917,NA,NA,NA,2964,NA,NA
