SCL_UNITID	SCL_NAME	SCL_DIVISION	SCL_SUBDIVISION	SCL_CONFERENCE	SCL_HBCU	SCL_PRIVATE	SPORT	FED_RATE	ASR
106467	Arkansas Tech University	2	0	Great American Conference	2	0	WTR	67	82
106467	Arkansas Tech University	2	0	Great American Conference	2	0	MFB	28	39
106467	Arkansas Tech University	2	0	Great American Conference	2	0	WBB	63	88
106467	Arkansas Tech University	2	0	Great American Conference	2	0	MBA	32	63
106467	Arkansas Tech University	2	0	Great American Conference	2	0	MBB	80	63
106467	Arkansas Tech University	2	0	Great American Conference	2	0	WSB	31	67
106467	Arkansas Tech University	2	0	Great American Conference	2	0	WGO	75	100
106467	Arkansas Tech University	2	0	Great American Conference	2	0	WVB	75	90
106485	University of Arkansas at Monticello	2	0	Great American Conference	2	0	MBA	31	58
106485	University of Arkansas at Monticello	2	0	Great American Conference	2	0	MFB	22	34
106485	University of Arkansas at Monticello	2	0	Great American Conference	2	0	MGO	0	45
106485	University of Arkansas at Monticello	2	0	Great American Conference	2	0	MTR	38	75
106485	University of Arkansas at Monticello	2	0	Great American Conference	2	0	WSB	50	91
106485	University of Arkansas at Monticello	2	0	Great American Conference	2	0	MBB	0	11
106485	University of Arkansas at Monticello	2	0	Great American Conference	2	0	WVB	50	93
106485	University of Arkansas at Monticello	2	0	Great American Conference	2	0	WGO	-99	50
106485	University of Arkansas at Monticello	2	0	Great American Conference	2	0	WTR	33	63
106485	University of Arkansas at Monticello	2	0	Great American Conference	2	0	WBB	50	68
107044	Harding University	2	0	Great American Conference	2	1	WGO	88	89
107044	Harding University	2	0	Great American Conference	2	1	MGO	60	100
107044	Harding University	2	0	Great American Conference	2	1	WSO	80	100
107044	Harding University	2	0	Great American Conference	2	1	MTE	75	100
107044	Harding University	2	0	Great American Conference	2	1	MFB	42	67
107044	Harding University	2	0	Great American Conference	2	1	MBA	63	84
107044	Harding University	2	0	Great American Conference	2	1	WTR	70	91
107044	Harding University	2	0	Great American Conference	2	1	WBB	69	95
107044	Harding University	2	0	Great American Conference	2	1	WTE	77	90
107044	Harding University	2	0	Great American Conference	2	1	MSO	53	83
107044	Harding University	2	0	Great American Conference	2	1	MTR	77	92
107044	Harding University	2	0	Great American Conference	2	1	MBB	80	92
107044	Harding University	2	0	Great American Conference	2	1	WVB	80	100
107071	Henderson State University	2	0	Great American Conference	2	0	WSB	26	56
107071	Henderson State University	2	0	Great American Conference	2	0	WVB	25	56
107071	Henderson State University	2	0	Great American Conference	2	0	WTR	67	57
107071	Henderson State University	2	0	Great American Conference	2	0	MBA	45	67
107071	Henderson State University	2	0	Great American Conference	2	0	WSW	82	95
107071	Henderson State University	2	0	Great American Conference	2	0	MSW	46	53
107071	Henderson State University	2	0	Great American Conference	2	0	WTE	100	100
107071	Henderson State University	2	0	Great American Conference	2	0	MBB	15	31
107071	Henderson State University	2	0	Great American Conference	2	0	MFB	27	33
107071	Henderson State University	2	0	Great American Conference	2	0	MTR	73	-99
107071	Henderson State University	2	0	Great American Conference	2	0	MGO	36	50
107071	Henderson State University	2	0	Great American Conference	2	0	WGO	57	75
107071	Henderson State University	2	0	Great American Conference	2	0	WBB	25	33
107512	Ouachita Baptist University	2	0	Great American Conference	2	1	WSB	50	86
107512	Ouachita Baptist University	2	0	Great American Conference	2	1	WTE	50	75
107512	Ouachita Baptist University	2	0	Great American Conference	2	1	MBA	32	55
107512	Ouachita Baptist University	2	0	Great American Conference	2	1	WBB	78	88
107512	Ouachita Baptist University	2	0	Great American Conference	2	1	MFB	32	56
107512	Ouachita Baptist University	2	0	Great American Conference	2	1	WTR	67	83
107512	Ouachita Baptist University	2	0	Great American Conference	2	1	MWR	-99	100
107512	Ouachita Baptist University	2	0	Great American Conference	2	1	WVB	79	85
107512	Ouachita Baptist University	2	0	Great American Conference	2	1	MTE	40	86
107512	Ouachita Baptist University	2	0	Great American Conference	2	1	MBB	38	68
107512	Ouachita Baptist University	2	0	Great American Conference	2	1	WSO	46	65
107512	Ouachita Baptist University	2	0	Great American Conference	2	1	MGO	56	85
107512	Ouachita Baptist University	2	0	Great American Conference	2	1	MSO	13	61
107512	Ouachita Baptist University	2	0	Great American Conference	2	1	MSW	83	76
107512	Ouachita Baptist University	2	0	Great American Conference	2	1	WSW	83	96
107983	Southern Arkansas University Main Campus	2	0	Great American Conference	2	0	MBB	53	50
107983	Southern Arkansas University Main Campus	2	0	Great American Conference	2	0	WTR	43	57
107983	Southern Arkansas University Main Campus	2	0	Great American Conference	2	0	WNO	50	67
107983	Southern Arkansas University Main Campus	2	0	Great American Conference	2	0	WGO	25	50
107983	Southern Arkansas University Main Campus	2	0	Great American Conference	2	0	WVB	60	88
107983	Southern Arkansas University Main Campus	2	0	Great American Conference	2	0	WTE	83	-99
107983	Southern Arkansas University Main Campus	2	0	Great American Conference	2	0	MFB	29	33
107983	Southern Arkansas University Main Campus	2	0	Great American Conference	2	0	MNO	20	29
107983	Southern Arkansas University Main Campus	2	0	Great American Conference	2	0	WBB	38	57
107983	Southern Arkansas University Main Campus	2	0	Great American Conference	2	0	MGO	63	64
107983	Southern Arkansas University Main Campus	2	0	Great American Conference	2	0	MBA	27	53
107983	Southern Arkansas University Main Campus	2	0	Great American Conference	2	0	MTR	33	46
107983	Southern Arkansas University Main Campus	2	0	Great American Conference	2	0	WSB	27	65
108092	University of Arkansas-Fort Smith	2	0	Heartland Conference	2	0	MGO	100	100
108092	University of Arkansas-Fort Smith	2	0	Heartland Conference	2	0	WBB	75	75
108092	University of Arkansas-Fort Smith	2	0	Heartland Conference	2	0	MTE	50	80
108092	University of Arkansas-Fort Smith	2	0	Heartland Conference	2	0	WGO	67	67
108092	University of Arkansas-Fort Smith	2	0	Heartland Conference	2	0	MBA	0	0
108092	University of Arkansas-Fort Smith	2	0	Heartland Conference	2	0	MBB	0	0
108092	University of Arkansas-Fort Smith	2	0	Heartland Conference	2	0	WTE	75	100
