unitid,athletic_revenues,royalties,tv_revenue,ticket_sales,subsidy,direct_state_govt_support,ncaa_distributions,indirect_facil_admin_support,endowments,other_revenues,athletic_expenses,student_fees,net_revenue
110671,15484936,86004,0,32916,13788851,0,397005,4222424,39933,1180160,15685813,4830946,-200877
110705,15588782,41682,0,315918,12447088,0,610458,762057,198252,2173636,15980965,9941009,-392183
141574,40989898,4100634,2496943,6261857,18005273,0,2271491,6205533,587244,10350643,43086528,1563721,-2096630
217819,17440104,84304,8588,517570,13153721,0,662033,961425,107100,3022476,18121066,12192296,-680962
232423,43767486,1173156,0,2294984,35725049,0,1614252,0,0,2960045,43767486,33630820,0
199218,12268374,330543,0,314094,8793355,0,717574,0,240768,2112808,12351215,7637608,-82841
164076,24833346,255000,0,643050,19821921,0,1423496,2227211,44826,2689879,24477033,14964376,356313
231624,23664928,901426,19230,853749,12691327,0,1385465,893282,1916110,7832961,23664883,11741918,45
100663,31549517,961267,0,1165323,20345607,0,2938668,423183,31914,6138652,30805171,5234091,744346
133669,24352818,575459,0,956750,16358377,0,976218,1447683,2441,5486014,24033024,12128623,319794
133951,28104062,370079,0,744271,22540365,51746,2429168,57230,107154,2020179,27542910,20026979,561152
159647,19277701,192054,0,2019333,9651372,0,2231885,2079145,0,5183057,19239017,0,38684
237525,28707091,157416,1347054,3326138,14056395,0,3784757,2622160,275967,7382385,29441144,3997054,-734053
220978,30410530,1456847,0,1384428,19674538,0,3414019,3565326,522785,4480698,29036660,7440012,1373870
199139,29591208,672614,9522,1855994,20459306,0,1717783,5201022,271738,4885511,28366612,15258284,1224596
227216,31617094,1690478,0,1330980,19784033,0,2954225,35291,10227,5857378,31182673,10674831,434421
232982,41061440,1204868,0,3576261,26733437,0,2026604,0,1504,7520270,41118876,26733437,-57436
176372,23536254,1448527,0,2215329,9413473,0,2697918,474309,95983,7761007,23536254,5948981,0
228796,28645661,1516299,376929,2326459,15016788,0,3065707,3093032,123290,6720408,28521887,5429023,123774
157951,27716031,1263055,0,2054360,15758435,0,1355089,1470952,138792,7285092,27716031,4029476,0
202134,11446911,246714,0,274739,9627983,0,414927,0,87658,882548,11446911,9346537,0
145600,21187176,490797,0,486805,12410075,384332,545552,495796,227471,7253947,20871153,7324959,316023
171571,11891893,230480,0,142588,9340386,0,538372,303310,3000,1640067,11537425,0,354468
240277,8823409,716776,6000,964999,4997939,247500,621108,359044,57747,1522587,8853983,1304495,-30574
206604,10710593,411910,0,271561,8417787,18613,366605,0,0,1242730,11236512,0,-525919
206695,14385066,210190,54976,539682,10085921,0,809923,0,244772,2739350,14385066,0,0
185828,13136737,817,0,7418,11899220,0,489279,2953203,127796,740003,12482364,2283329,654373
200800,32774266,971746,0,1687563,22654017,0,2538667,0,196853,4922273,32050686,0,723580
150136,23424359,721138,6267,1018482,17397330,0,1899703,1399962,0,2387706,25245450,11237600,-1821091
201441,23469664,661333,0,1912792,14722441,0,1957702,2003838,204494,4215396,23306965,12718603,162699
196088,31277980,793685,0,1285778,23979061,0,2505034,2228622,156407,2714422,31134149,8168727,143831
169248,29281777,265700,29379,691173,21605613,0,932564,0,859169,5786727,29281777,0,0
169798,30081523,3363,0,148738,25083708,0,2250161,6374741,50601,2595553,30081523,1572843,0
203517,24932694,432289,3540,486944,19039679,0,1061798,119683,0,3911984,24982288,13982690,-49594
204024,29393128,618431,0,1210725,21115125,2890,1291660,27384,226382,5157187,28712466,15735046,680662
147703,27007053,630113,0,1097519,18339413,0,2527831,3334196,205358,4412177,26130115,9101311,876938
204857,27720000,1357110,0,1452846,18453771,0,2054820,2407059,146531,4401453,27298719,16046712,421281
206084,22559175,1182506,0,1420986,12940709,0,1312119,2435894,0,5702855,26304331,10504815,-3745156
172699,28927072,1362493,0,1535424,20027951,0,1871943,3164166,190321,4129261,30113764,0,-1186692
162283,3304284,0,0,17460,2467870,0,46877,0,0,772077,3953265,2144258,-648981
163453,9275151,12764,0,144554,7753009,12235,312483,0,0,1052341,10187400,7740774,-912249
232937,12134981,0,0,488512,9613812,0,865450,0,0,1167207,12823816,9613812,-688835
199102,11383506,288571,0,818161,8398737,0,538214,1272840,48115,1339823,11808863,6132790,-425357
199157,10629060,108319,0,360376,7718865,0,846609,0,0,1594891,10703763,4794357,-74703
140960,6033864,4500,4508,170506,4042460,0,175034,887691,0,1641364,6345251,2854622,-311387
218733,9816895,0,0,986958,6635852,0,438493,0,0,1755592,9816895,307070,0
145813,21587420,1044175,44800,1468299,15112785,0,1407048,0,0,2555113,21339412,9116596,248008
151324,13847014,256813,0,579276,10075797,0,717335,785996,43403,2217793,13727928,8275953,119086
179566,15105167,161473,0,1252044,8965530,0,856848,0,268591,3869272,15105167,0,0
154095,16966524,1227410,0,1236252,8464481,0,1019039,2343082,604018,5019342,18103940,1749440,-1137416
149222,21847326,1522602,0,1378055,13651984,0,1233725,1423294,37651,4060960,25010146,8527026,-3162820
