NAME,LABEL
b101,Total Revenues per Team for Coed Women
b102,Total Revenues per Team for Coed Men and Coed Women
b103,Total amount of Revenues per Team for Men's Team and Coed Men
b104,Total amount of Revenues per Team for Women's Team and Coed Women
b105,Total Revenues per Team and Total Coed Revenues
b106,"Total Expenses per Team for Men of all Sports, Except Football and Basketball Combined"
b107,"Total Expenses per Team for Women of all Sports, Except Football and Basketball Combined"
b108,"Total Expenses per Team for Men and Women of all Sports, Except Football and Basketball Combined"
b109,Total Expenses per Team for Coed Men
b110,Total Expenses per Team for Coed Women
b111,Total Expenses per Team for Coed Men and Coed Women
b112,Total amount of Expenses per Team for Men's Team and Coed Men
b113,Total amount of Expenses per Team for Women's Team and Coed Women
b114,Total Expenses per Team and Total Coed Expenses
c8,Unduplicated Counts of Participants in Men's Team and Men's Coed Team
c9,Unduplicated Counts of Participants in Wmen's Team and Women's Coed Team.
c105,Total Revenues Not Allocated by Gender/Sport
c114,Total Expenses Not Allocated by Gender/Sport
d105,Grand Total Revenues
d114,Grand Total Expenses
