  --------------------------- ----------------------------------------------------
  NAME                        LABEL
  IL_WOMEN_PTASCOACH_MALE     Total # Women's Assist. Coach/Male/Part-Time

  IL_WOMEN_FTACUNEMP_MALE     Total # Women's Assist. Coach/Male/FTEmp

  IL_WOMEN_PTACUNEMP_MALE     Total # Women's Assist. Coach/Male/PTEmp

  IL_WOMEN_FTASTCOACH_FEM     Total # Women's Assist. Coach/Female/Full-Time

  IL_WOMEN_PTASTCOACH_FEM     Total # Women's Assist. Coach/Female/Part-Time

  IL_WOMN_FTACUNIVEMP_FEM     Total # Women's Assist. Coach/Female/FTEmp

  IL_WOMN_PTACUNIVEMP_FEM     Total # Women's Assist. Coach Female/PTEmp

  IL_WOMEN_TOTAL_ASTCOACH     Total Number of Total Assist. Coaches in Women's
                              Team

  IL_COED_FTASCOACH_MALE      Total # Coed Assist. Coach/Male/Full-Time

  IL_COED_PTASCOACH_MALE      Total # Coed Assist. Coach/Male/Part-Time

  IL_COED_FTACUNEMP_MALE      Total # Coed Assist. Coach/Male/FTEmp

  IL_COED_PTACUNEMP_MALE      Total # Coed Assist. Coach/Male/PTEmp

  IL_COED_FTASTCOACH_FEM      Total # Coed Assist. Coach/Female/Full-Time

  IL_COED_PTASTCOACH_FEM      Total # Coed Assist. Coach/Female/Part-Time

  IL_COED_FTACUNIVEMP_FEM     Total # Coed Assist. Coach/Female/FTEmp

  IL_COED_PTACUNIVEMP_FEM     Total # Coed Assist. Coach/Female/PTEmp

  IL_COED_TOTAL_ASTCOACH      Total # of Total Assist. Coaches in Coed Team

  IL_SUM_FTASCOACH_MALE       Total # Assist. Coach/Men/Women/Coed/Male/Full-Time

  IL_SUM_PTASCOACH_MALE       Total # Assist. Coach/Men/Women/Coed/Male/Part-Time

  IL_SUM_FTACUNIVEMP_MALE     Total # Assist. Coach/Men/Women/Coed/Male/FTEmp

  IL_SUM_PTACUNIVEMP_MALE     Total # Assist. Coach/Men/Women/Coed/Male/PTEmp

  IL_SUM_FTASCOACH_FEM        Total # Assist.
                              Coach/Men/Women/Coed/Female/Full-Time

  IL_SUM_PTASCOACH_FEM        Total # Assist.
                              Coach/Men/Women/Coed/Female/Part-Time

  IL_SUM_FTACUNIVEMP_FEM      Total # Assist. Coach/Men/Women/Coed/Female/FTEmp

  IL_SUM_PTACUNIVEMP_FEM      Total # Assist. Coach/Men/Women/Coed/Female/PTEmp

  IL_SUM_TOTAL_ASSTCOACH      Total # Assist. Coaches/Men/Women/Coed Teams

  IL_REV_MEN                  Total Revenues per Team for Men (Excludes Football
                              and Basketball)

  IL_REV_WOMEN                Total Revenues per Team for Women (Excludes Football
                              and Basketball)

  IL_TOTAL_REV_MENWOMEN       Total Revenues per Team for Men and Women (Excludes
                              Football and Basketball)

  IL_REV_COED_MEN             Total Revenues per Team for Coed Men (Excludes
                              Football and Basketball)

  IL_REV_COED_WOMEN           Total Revenues per Team for Coed Women (Excludes
                              Football and Basketball)

  IL_TOTAL_REV_COED           Total Revenues per Team/ Coed Men/Coed Women
                              (Excludes Football and Basketball)

  IL_REVENUE_MENALL           Total Revenues per Team for Men's and Coed Men
                              (Excludes Football and Basketball)

  IL_REVENUE_WOMENALL         Total Revenues per Team for Women's and Coed Women
                              (Excludes Football and Basketball)

  IL_TOTAL_REVENUE_ALL        Total Revenues per Team and Total Coed Revenues
                              (Excludes Football and Basketball)

  IL_EXP_MEN                  Total Expenses per Team for Men (Excludes Football
                              and Basketball)

  IL_EXP_WOMEN                Total Expenses per Team for Women (Excludes Football
                              and Basketball)

  IL_TOTAL_EXP_MENWOMEN       Total Expenses per Team for Men and Women (Excludes
                              Football and Basketball)

  IL_EXP_COED_MEN             Total Expenses per Team for Coed Men (Excludes
                              Football and Basketball)

  IL_EXP_COED_WOMEN           Total Expenses per Team for Coed Women (Excludes
                              Football and Basketball)

  IL_TOTAL_EXP_COED           Total Expenses per Team/Coed Men and Coed Women
                              (Excludes Football and Basketball)

  IL_EXPENSE_MENALL           Total Expenses per Team for Men's and Coed Men
                              (Excludes Football and Basketball)

  IL_EXPENSE_WOMENALL         Total Expenses per Team for Women's and Coed Women
                              (Excludes Football and Basketball)

  IL_TOTAL_EXPENSE_ALL        Total Sum of Expenses per Team and Total Coed
                              Expenses (Excludes Football and Basketball)

  UNDUP_CT_PARTIC_MEN         Unduplicated Counts of Participants in Men's Team
                              and Men's Coed Team

  UNDUP_CT_PARTIC_WOMEN       Unduplicated Counts of Participants in Women's Team
                              and Women's Coed Team.

  TOT_REVENUE_ALL_NOTALLOC    Total Revenues Not Allocated by Gender/Sport

  TOT_EXPENSE_ALL_NOTALLOC    Total Expenses Not Allocated by Gender/Sport

  GRND_TOTAL_REVENUE          Grand Total Revenues

  GRND_TOTAL_EXPENSE          Grand Total Expenses
  --------------------------- ----------------------------------------------------
